"keyword","broaderLabel","relatedLabel"
"installatiebedrijven","ondernemingen","elektrotechniek"
"installatiebedrijven","ondernemingen","monteurs"
"installatiebedrijven","ondernemingen","loodgieters"
"installatiebedrijven","ondernemingen","verwarmingsapparaten"
"installatiebedrijven","ondernemingen","bouwbedrijven"
"rekenmachines","apparatuur","wiskunde"
"rekenmachines","apparatuur","rekenen"
"rekenmachines","apparatuur","elektronische apparatuur"
"energieverbruik",,"milieuheffingen"
"energieverbruik",,"energievoorziening"
"energieverbruik",,"energie"
"energieverbruik",,"energielabels"
"energieverbruik",,"verwarming"
"energieverbruik",,"energiebesparing"
"energieverbruik",,"energiebeleid"
"reparaties",,"renovaties"
"reparaties",,"monteurs"
"reparaties",,"dokken"
"reparaties",,"werkplaatsen"
"reparaties",,"doe-het-zelvers"
"reparaties",,"onderhoud"
"deuren",,"poorten"
"deuren",,"gebouwen"
"deuren",,"ramen"
"deuren",,"hang-en-sluitwerk"
"neonatologie","geneeskunde","kinderziekenhuizen"
"neonatologie","geneeskunde","kinderziekten"
"neonatologie","geneeskunde","couveuses"
"neonatologie","geneeskunde","baby's"
"paragnosten","vrije beroepen","dienstverlenende beroepen"
"paragnosten","vrije beroepen","parapsychologie"
"kinderartsen","medisch specialisten","kinderen"
"hartchirurgie","chirurgie","operaties"
"hartchirurgie","chirurgie","hart"
"hartchirurgie","chirurgie","cardiologie"
"hartchirurgie","chirurgie","hart- en vaatziekten"
"hartchirurgie","chirurgie","transplantaties"
"tandheelkunde","geneeskunde","gebitten"
"tandheelkunde","geneeskunde","fluor"
"tandheelkunde","geneeskunde","tandartsen"
"huisartsen","artsen","bedrijfsartsen"
"amputaties","operaties","prothesen"
"rituelen",,"magie"
"rituelen",,"slachten"
"rituelen",,"ontgroening"
"rituelen",,"volkscultuur"
"rituelen",,"sociologie"
"rituelen",,"dagelijks leven"
"rituelen",,"crematies"
"rituelen",,"maskers"
"rituelen",,"zelfkastijdingen"
"rituelen",,"liturgie"
"rituelen",,"bijgeloof"
"rituelen",,"exorcisme"
"rituelen",,"religies"
"rituelen",,"lijkverbrandingen"
"rituelen",,"plechtigheden"
"rituelen",,"doop"
"rituelen",,"begrafenissen"
"rituelen",,"besnijdenissen"
"heksen",,"duivels"
"heksen",,"fantasiefiguren"
"heksen",,"sprookjes"
"heksen",,"spiritisme"
"heksen",,"magie"
"heksen",,"voodoo"
"heksen",,"occultisme"
"spelen",,"speelplaatsen"
"spelen",,"speelgoed"
"spelen",,"sport"
"spelen",,"dagelijks leven"
"spelen",,"vrijetijdsbesteding"
"spelen",,"puzzels"
"munten","geld","muntstelsels"
"munten","geld","bankbiljetten"
"munten","geld","penningen"
"globalisering","sociale vraagstukken","internationale betrekkingen"
"globalisering","sociale vraagstukken","multinationals"
"globalisering","sociale vraagstukken","wereldhandel"
"sociaaleconomisch overleg","onderhandelingen","overheidsbeleid"
"sociaaleconomisch overleg","onderhandelingen","vakbonden"
"sociaaleconomisch overleg","onderhandelingen","sociale voorzieningen"
"sociaaleconomisch overleg","onderhandelingen","werkgeversorganisaties"
"sociaaleconomisch overleg","onderhandelingen","sociaal beleid"
"sociaaleconomisch overleg","onderhandelingen","arbeidsvoorwaarden"
"waardepapieren","documenten","aandeelhouders"
"waardepapieren","documenten","optiebeurzen"
"waardepapieren","documenten","naamloze vennootschappen"
"waardepapieren","documenten","waardetransport"
"waardepapieren","documenten","geld"
"waardepapieren","documenten","beleggingen"
"waardepapieren","documenten","speculatie"
"waardepapieren","documenten","effectenbeurzen"
"keuringen","onderzoek","keurmeesters"
"keuringen","onderzoek","keurmerken"
"keuringen","onderzoek","controles"
"keuringen","onderzoek","tests"
"keuringen","onderzoek","warenonderzoek"
"pensioenfondsen","organisaties","verzekeringen"
"pensioenfondsen","organisaties","pensioenen"
"inkomens",,"levensstandaard"
"inkomens",,"declaraties"
"inkomens",,"nivellering"
"inkomens",,"loon- en prijsbeleid"
"inkomens",,"studiefinanciering"
"inkomens",,"spaarregelingen"
"consumptie",,"drinkers"
"consumptie",,"luxegoederen"
"consumptie",,"accijnzen"
"consumptie",,"vasten"
"consumptie",,"deeleconomie"
"consumptie",,"economie"
"consumptie",,"levensstijl"
"consumptie",,"eters"
"consumptie",,"bezuinigingen"
"consumptie",,"consumenten"
"miljonairs",,"levensstandaard"
"miljonairs",,"welvaart"
"miljonairs",,"rijkdom"
"kerstspelen","toneel","kerstversieringen"
"jubilea","herdenkingen","huldigingen"
"jubilea","herdenkingen","feesten"
"sprookjes","proza","kabouters"
"sprookjes","proza","heksen"
"sprookjes","proza","volksverhalen"
"sprookjes","proza","fantasiefiguren"
"sprookjes","proza","draken"
"vuurwerk","feestartikelen","springstoffen"
"vuurwerk","feestartikelen","volksfeesten"
"vuurwerk","feestartikelen","feestverlichting"
"vuurwerk","feestartikelen","explosies"
"volksliederen","liederen","sportmanifestaties"
"volksliederen","liederen","vlaggen"
"volksliederen","liederen","symbolen"
"volksliederen","liederen","volksdansen"
"volksliederen","liederen","staatsbezoeken"
"volksliederen","liederen","volkscultuur"
"volksliederen","liederen","volksmuziek"
"cajun","volksmuziek","volkscultuur"
"volksfeesten","evenementen","volkscultuur"
"volksfeesten","evenementen","vendelzwaaien"
"volksfeesten","evenementen","vuurwerk"
"volksfeesten","evenementen","praalwagens"
"volksfeesten","evenementen","volksspelen"
"volksfeesten","evenementen","zanghulde"
"volksfeesten","evenementen","festivals"
